".type",".value","CT_med_income_ln_2006"
"ale",0.46142072172619,9.29427587650398
"ale",-0.0241459449404758,9.75343277053333
"ale",-0.0231459449404759,9.79328176919905
"ale",-0.0235745163690474,9.84182489214402
"ale",-0.00794118303571439,9.85925286658695
"ale",-0.00769118303571437,9.88877824764053
"ale",-0.0102626116071429,9.91214832405053
"ale",-0.0102626116071429,9.94038716957614
"ale",-0.0111197544642858,9.96899176972986
"ale",-0.0111197544642858,9.98859935380721
"ale",-0.0111197544642858,10.0347350891458
"ale",-0.0111197544642858,10.1185987970126
"ale",-0.0128530877976192,10.1884738081499
"ale",-0.0128530877976192,10.2550764320886
"ale",-0.0128530877976192,10.2889559196127
"ale",-0.0128530877976192,10.3519318746642
"ale",-0.0128530877976192,10.4000020700442
"ale",-0.0075197544642856,10.427687688716
"ale",-0.00951975446428538,10.4990847997727
"ale",-0.0105197544642854,10.5659359990709
"ale",-0.018186421130952,10.634330973959
