"level","crime_type","outcome","n_obs","n_lag_years","rsq_place_only","rsq_with_lags","rsq_improvement","mse_place_only","mse_with_lags"
"DA","TOB","TOB_2025",1009,22,0.3859,0.5999,0.2139,2.9199,1.9026
"DA","BNEC","BNEC_2025",1009,22,0.5003,0.6398,0.1394,4.4537,3.211
"DA","TOV","TOV_2025",1009,22,0.2053,0.2701,0.0649,0.8228,0.7556
"DA","BNER","BNER_2025",1009,22,0.2906,0.3652,0.0746,1.3622,1.219
"DA","Theft","Theft_2025",1009,22,0.3249,0.6207,0.2959,2604.2899,1462.9465
"DA","Mischief","Mischief_2025",1009,22,0.4158,0.5177,0.102,178.2536,147.147
"DA","TFV","TFV_2025",1009,22,0.5946,0.6881,0.0935,81.0253,62.3357
